AOI COVERAGE REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Program Name:, PH_PH95235939_J_BOT_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Program Generated:, Date: 2023 12 13 Time: 14:32:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Components Detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trained,657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Untrained,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Components,658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trained But Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UnTrained But Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Skipped Components,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage (Excluded Skip Component),100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RefDes, Part Number, Type, Z-Height, Presence Mode, Locator Image Plane, Presence Threshold, Hor Threshold, Ver threshold, Skew threshold,  Billboard, Flipped, Bridging, Joints, Side Fillets, Lead Ringer, Tweeze, OCR, OCV, OCI, VPOD, CPM, LiftedLead, Coplan, Damaged, Polarity, TombStone, Foreign Material, Custom Inspection, AWC Inspection, 3D Geometry Measure, Through Hole Tech, Alternates, Comment, Gap Detector, Periodic Check
1:c63,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
1:c129,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
2:c124,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
2:c79,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
2:c77,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
2:c123,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
2:c82,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
2:c84,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
2:c83,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
2:c78,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
2:c81,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
2:c101,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
2:c71,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
2:c68,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
2:c86,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
2:c74,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
2:c70,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
2:c80,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
2:c85,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
